ise	ise
kaks	kaks
püha	püha
andma	`an'tti
nagu	nagu
neli+pühad	nel'i+bühil
siis	siss
kaks	kaks
päev	`pääva
siis	siis
sööma	`süödi
kodu	kodu
siin	siin
ehk	ehk
andma	anna
omaksed	omakstelle
sööma	süija
andma	anna
isa	isale
ehk	ehk
ema	emale
ehk	ehk
õde	`õele
ehk	hk
vend	vennale
ehk	ehk
tang	`tangu
palju	pal'ju
tahes	tahes
ja	ja
ja	ja
või	võid
iga+üks	iga+üks
tooma	tõi
tassi+täis	tas'si+däije
saama	sai
hea	ia
püti+täis	püt'ti+däis
ju	juo
olema	õl'i
vahest	vahest
kolm	kolm
neli+teist+kümmend	nel'i+dõis+kümme
loom	`luoma
ja	ja
pere	peret
no	nuo
loom	`luomi
või	või
või	vai
lehm	`lehmi
need	neid
olema	õl'i
võib+olla	võib+õlla
neli+kümmend	nel'i+gümmend
isegi	isegi
aga	aga
nagu	nagu
aga	aga
see	sie
olema	õl'i
jah	jahh
iga	iga
iga	iga
lehm	lehma
pealt	pält
kaks	kaks
ei	ei
siis	sis
sealt	sialt
andma	`an'tti
toores	`toored
jah	jahh
eks	eks
kodu	kodu
siis	siis
pidama	pidänd
keetma	`kietmä
vata	vatta
isa	isa
tulema	tul'i
ju	juo
hobune	obusega
sinna	`sinna
järele	järäle
ja	ja
siis	siis
isa	isaga
käima	käisime
küla	küla
nagu	nagu
ütlema	`üelda
nagu	nagu
arm	armu
kerjaja	`kerjaead
no	no
teenima	`tien'ittud
küll	küll
ja	ja
eks	eks
pere+rahvas	pere+rahvas
teadma	tiand
iga+üks	iga+üks
teadma	`tiadis
et	et
et	et
nüüd	nüüd
karjus	karjus
tulema	tulõb
see	sest
aeg	aeast
tegema	`tehti
ju	juo
sepik	seppikkut
valmis	`val'mis
ka	kua
karjus	karjusse
jaoks	jaust
ikka	ikka
oma	oma
oma	oma
sepik	seppikkud
kes	kellel
kes	kellel
olema	õl'i
ju	juo
nagu	nagu
olema	õl'i
rikas	`rikkamb
et	et
olema	õl'i
püüline	püül'isist
püül	püül'i
leib	leib
jälle	`jälle
suur	suur
osa	osa
ikka	`ikke
ümmargune	ümmargune
või	või
ümmargune	ümmargused
ikka	ikke
jah	jahh
ei	ei
ei	ei
panema	`pandud
see	se
eks	eks
tema	ta
olema	ole
või	`võiga
andma	`an'tti
ju	juo
tass	tas'siga
ja	ja
sügisel	sügise
sügisel	sügise
siis	siis
andma	`an'tti
korvi+täis	korvi+däis
ehk	ehk
iga	iga
lehm	lehma
pealt	pialt
korvi+täis	korvi+däis
võima	võib
ütlema	öelda
ehk	ehk
külimit	kilimitt
kartul	`karttulid
ja	ja
ja	ja
tükk	tükk
liha	liha
looma+liha	luoma+liha
ja	ja
kes	kellel
olema	õl'i
siga	siga
tapma	tappettud
nagu	nagu
sügisel	sügise
juba	joba
siis	siis
andma	`an'tti
tükk	tükk
liha	liha
jah	jahh
see	sie
olema	õl'i
nagu	nagu
arm	armu
arm	armu
pärast	pärast
andma	`anttud
jah	jahh
ja	ja
see	selle
peale	piale
et	et
et	et
hea	ia
karjus	karjus
jah	jahh
no	noo
jah	jahh
sügisel	sügise
nagu	nagu
ei	ei
minema+ki	`läntki
mina	mina
isa	isa
tulema	tul'i
sinna	`sinna
hobune	obusega
et	et
et	et
vahest	vahest
ei	ei
minema+ki	`läntki
enne	`enne
kui	kui
mina	maa
tulema	tul'in
ju	ju
kodu	kodu
ja	ja
siis	siis
minema	läksime
kui	kui
lumi	lumi
tulema	tul'i
siis	siis
lumi	lume
tee	tie
aeg	aeg
siis	siis
olema	õnn
nagu	nagu
kerge	`kergem
käima	`käijä
ja	ja
siit	siit
siit	siit
otse	õtse
läbi	läbi
mets	metsä
ei	eij
olema	õle
rohkem	`rohkem
kui	kui
kolm	kolm
kilo+meeter	kilu+`meetrit
see	seda
mets	`metsä
valitsus	val'itsuse
mets	`metsä
aga	aga
kui	ku
hakkama	`akkad
ümber	`ümber
minema	menemä
siis	siis
vaatama	`vaatta
siis	siis
tulema	tuleb
rohkem	`rohkem
kui	kui
poole	poole
kauge	`kaugemb
ei	ei
teie	teije
Kärasi	Käräsit
ei	ei
teadma	tiä
või	või
olema	olette
käima	käind
ka	koa
Kärasi	Käräsil
jah	jahh
jah	jahh
noh	nohh
minema	läksime
ikka	ikke
sinna	`sinna
isa	isaga
pere+mees	pere+mehed
tulema	tul'ivad
kokku	`kokku
sinna	`sinna
ja	ja
üks	`ühte
talu	talusse
no	no
siis	siis
saama	sai
kauplema	kaubeldud
kuidas	kuda
aga	aga
kaup	`kauppa
siis	siis
saama	sai
nagu	nagu
kaks	kaks
suvi	suve
mina	ma
käima	käisin
teine	tõisel
suvi	suvel
ütlema	`üeldi
et	et
ei	eij
olema	õle
vaja	vaea
keegi	kedagid
sina	sia
olema	led
nii	nii
aus	aus
karjus	karjuss
ja	ja
muud+kui	mut+kui
aga	aga
üksi+päini	üksi+bäini
üksi+päini	üksi+bäini
ei	ei
tulema	tuld
enam	enam
olema	põld
vaja	vaea
isa	isaga
sinna	`sinna
ega	ega
noh	nõhh
see	sie
olema	õl'i
kuidas	kuda
kuidas	kuda
see	seda
aeg	`aega
olema	õl'i
vahest	vahest
või	või
jüri+päev	jüri+bääv
aga	aga
ikka	ikke
enne	`enne
jüri+päev	jüri+`bääva
jüri+päev	jüri+bääva
aeg	aeal
suur	suur
osa	osa
ikka	ikke
see	sie
nagu	nagu
laskma	`las'ti
loom	loomad
jüri+päev	jüri+bääva
hommik	ommukku
kokku	`kokku
kui	kuij
olema	õl'i
ka	koa
lumi	lumi
maas	moas
aga	aga
laskma	las'ti
ikka	ikke
loom	luomad
kokku	`kokku
ja	ja
seal	sial
küla	küla
vain	`vainu
peal	pial
ja	ja
natuke	nattukke
keerutama	kieruttasivad
ja	ja
iga+üks	iga+üks
jälle	jälle
ajama	aeas
kodu	kodu
oma	oma
loom	looma
see	sie
olema	l'i
nagu	nagu
üks	üks
nagu	nagu
üks	üks
jüri+päev	jüri+bääv
olema	l'i
nagu	nagu
kari	karja
püha	püha
või	vai
jah	jahh
kuidas	kuda
ah	ahh
et	et
mis	mes
need	ned
tegema	tegid
või	vei
noh	noohh
eks	eks
nemad	nad
katsuma	`katsund
ramm	ramu
jah	jahh
siis	siis
pere+naine	pere+naised
suur	suur
osa	osa
ei	ei
pere+mees	pere+mehed
ei	ei
tulema	tuld
kari	`karja
ajama	`aama
ikka	ikke
pere+naine	pere+naesed
nii	niij
et	et
jälle	`jälle
malakas	malakkattega
vahe	vahe
peale	piale
et	et
teine	teene
loom	luom
jälle	jälle
teine	tõist
väga	väga
ära	ära
ei	ei
mudima	mudi
ei	ei
mina	minu
ajal	aeal
enam	enam
lammas	`lambaid
ei	ei
käima	käind
mina	minu
isa	isa
käima	käis
kari	karjas
siis	siis
käima	käisivad
lammas	`lambad
ja	ja
kits	kitsed
ja	ja
see	sell
aeg	aeal
olema	õl'i
kits	`kitsesid
ka	koa
palju	pailu
aga	aga
mina	minu
ajal	aeal
enam	enam
kits	`kitsesid
ei	eij
olema	õld
isa	isa
käima	käis
isa	isa
käima	käib
palju	pailu
aasta	`oastaid
päris	peris
vana	vana
laps	lapsed
juba	juba
no	no
see	sell
aeg	aeal
kui	ku
mina	mina
jo	joo
olema	ol'in
aga	aga
mina	minust
kaks	kaks
vend	`venda
Juhan	Juhan
ja	ja
Mart	Mar't
Juhan	Juhan
olema	õl'i
mina	minust
kümme	kümme
aasta	`oasta
vana	vanemb
Mart	Mar't
olema	õl'i
seitse	seitse
aasta	`oasta
vana	vanem
jah	jahh
mina	minu
õde	õde
olema	õl'i
kaheksa	kaheksa
aasta	`oasta
mina	minust
vana	vanemb
see	sie
Tallinn	Tal'linna
Tallinn	Tal'linnas
surema	suri
see	se
olema	onn
puhkama	`puhkab
Tallinn	Tal'linna
kalmistu	kal'mistul
jah	jahh
nemad	nad
vahe+peal	vahe+bääl
käima	käisivad
elama	elasivad
Vene+maa	Vene+moal
et	et
ligi	ligi
Vene+maa	Vene+moal
ja	ja
kui	kui
nagu	nagu
üks	üks
õde	õde
mina	moll
päris	peris
õde	õde
see	selle
siin	siin
ligidal	ligidal
Vene+maa	Vene+moal
aga	aga
seal	sial
pere	perega
suur	suures
need	neid
tütar	`tütrid
ja	ja
poeg	`puegi
need	neid
tulema	tul'i
jah	jahh
siis	siis
minema	läksivad
jälle	jälle
Volga	Volga
jõgi	jõe
äärde	`ääre
Siberski	Siberski
kubermang	kubermangu
ja	ja
elama	elasivad
seal	sial
ikka	ikke
mitu	mittu
aasta	`oastat
rikkalikult	`rikkalikkult
jah	jahh
seal	sial
ütlema	`ütles
et	t
ega	ega
ega	ega
see	sell
aeg	aeal
kui	kui
nemad	namad
sinna	`sinna
minema	läksid
seal	sial
olema	õl'i
see	se
haridus	aridus
ka	ka
nii	nii
väike	vek'ke
Vene	Vene
rahvas	`rahval
nii	nii
sari	`sarja
ei	eij
olema+ki	`õldki
kes	kellega
vili	`vil'ja
tuulama	tuulatta
või	vai
nii	nii
puhas	puhast
viskama	visat'ti
viskama	visat'ti
kühvel	`kühvliga
vili	vil'i
üles	ülesse
tuul	tuul
viima	vei
agan	aganad
ära	äe
ja	ja
vili	vil'i
kukkuma	`kukkus
siia	`seije
ja	ja
see	sie
olema+ki	õl'igi
aga	aga
kui	kui`
eestlane	iestlased
ostma	õs'tivad
sealt	sialt
üks	ühe
pank	panga
käest	kääst
ostma	õs'tivad
üks	ühe
larakas	larakka
maa	muad
ära	ära
jah	jahh
ja	ja
need	neid
need	neid
eestlane	`iestlasi
ikka	ikke
minema	läks
sinna	`sinna
Volga	Volga
jõgi	jõe
äärde	`ääre
ikka	ikke
palju	pailu
kohe	kohe
mitu	`mitmest
mõis	`mõisast
nagu	nagu
moona+mees	moona+mehed
ja	ja
ega	ega
siis	siss
kui	kui
sõda	sõda
tulema	tul'i
ja	ja
see	sie
mäss	mäss
ja	ja
tapmine	`tapmine
siis	siis
suur	suur
osa	osa
tulema	tul'ivad
ja	ja
mina	minu
õde	õde
ja	ja
õe+mees	õe+mees
surema	suri
ära	ää
küll	küll
sinna	`sinna
aga	aga
õde	õde
tulema	tul'i
ära	äe
ja	ja
õde	õde
mõni	mõne
aasta	`oasta
eest	iest
Tallinn	Tal'linnas
surema	suri
jah	jahh
poeg	poead
jah	jahh
ja	ja
tütar	tüttar
nüüd	nüüd
elama	elab
veel	viel
üks	üks
üks	üks
poeg	pueg
veel	vel
olema	onn
Tallinn	Tal'linnas
jah	jahh
tütar	tüttar
aga	aga
üks	üks
poeg	pueg
minema	läks
Ameerika	Ameerikka
aga	aga
see	sie
olema	onn
ära	ära
surema	surnud
seal	sial
aga	aga
aga	aga
üks	üks
poeg	pueg
mis	mess
siin	siin
olema	onn
see	see
viima	vei
siit+samast	siit+sama
Paade+nurme	Paade+nurme
küla	külast
siit+samast	siit+sama
ligidal	ligidal
olema	onn
see	se
küla	küla
seal	sial
Avi+nurme	Avi+nurmes
minema	`menna
siit	siit
sealt	sialt
oma	oma
lelle+tütar	lelle+`dütre
võtma	`võt'tis
naine	naisest
ja	ja
nüüd	nüüd
kas	kass
üle+mullu	üle+mullu
või	või
kui	kui
see	se
naine	naine
surema	suri
ära	ära
tema	temäl
siis	siis
võtma	`võt'tis
üks	ühe
üks	ühe
teine	tõise
naine	naise
vist	vist
lesk	lese
naine	naise
võtma	`võt'tis
ja	ja
nüüd	nüüd
tema	taa
olema	õl'i
elekri+jaam	elekri+jaamas
olema	õl'i
tema	ta
need	nied
aasta	`oastad
kõik	kõik
kui	kui
kui	kui
sealt	sialt
ära	ära
tulema	tul'i
mina	ma
ei	i
teadma	tia
kui	kui
palju	pailu
tema	temä
nüüd	nüüd
nüüd	nüüd
olema	onn
pension	pints
teenima	tienittud
iga	iga
päev	pääv
tulema	tulõb
mingi	mingi
raha	raha
jah	jah
nüüd	nüüd
tema	ta
käima	käis
jälle	`jälle
mina	minu
vaatama	`vaattamas
ju	ju
see	selle
uus	uuwe
naine	naisega
ka	kua
see	se
olema	onn
kaks	kaks
või	vai
kolm	kolm
nädal	nädalat
kui	kui
kui	kui
käima	käis
see	selle
oma	oma
lelle+tütar	lelle+`dütre
see	sell
see	sie
lelle+tütar	lelle+düttar
saama	sai
mees	mehele
nüüd	nüüd
siis	siis
nagu	nagu
õe+mees	õe+mehega
käima	käis
see	sie
olema	õlema
kuskil	`kos'ki
mina	ma
ei	i
teadma	tia
viina+põletaja	viina+bõlettaea
kuskil	`kos'ki
Tallinn	Tal'linna
ligidal	ligidal
kuskil	`kos'kil
mõis	`mõisas
või	vai
või	vai
asutus	asuttuses
jah	jahh
ei	ei
mina	minu
ei	eij
olema+ki	`õldki
siis	siis
ilm	`ilmäs
ei	eei
ei	ei
mina	minu
vana	vanem
vend	vend
mina	minu
vana	vanem
vend	vend
olema	õl'i
kümme	kümme
aasta	`oastad
mina	minust
vana	vanemb
ja	jaa
ja	ja
siis	siis
õde	õde
kaheksa	kaheksa
aasta	`oastat
ja	ja
üks	üks
vend	vend
kuus	kuus
aasta	`oastat
jah	jahh
ja	ja
kõige	kõige
noor	nuorem
vend	vend
see	sie
olema	l'i
neli	nel'i
aasta	`oastad
mina	minust
noor	nuoremb
see	sie
minema	läks
Vene+maa	Vene+`moale
võtma	`võt'tis
siit	siit
naine	naise
ja	ja
minema	läks
elama	elas
ja	ja
no	no
nüüd	nüüd
olema	onn
ju	jo
mitu	mittu
aasta	`aastat
kui	kui
surema	surnud
olema	onn
ei	ei
mina	maa
ei	ei
nägema	nähnud
need	neid
need	need
surema	surivad
ära	ää
ennem	`ennem
äi	äijad
ja	ja
ämm	ämmad
noh	nohh
üks	ühel
Maetma	`Maetmas
Maetma	`Maetmas
tulema	tul'itte
üle	üle
jõgi	jõe
vat	vat
siin+pool	siin+pool
siin+pool	siin+põl
jõgi	jõe
kallas	`kaldas
pahem	pahema
käsi	käe
pool	puool
seal	sial
olema	õl'i
meie	meije
elu+paik	elu+baik
mina	minu
isa	isa
elu+paik	elu+baik
ja	ja
enne	`enne
olema	õl'ivad
küla	külad
ju	jo
nii	nii
hunnik	un'nikkus
jah	jahh
siin+pool	siin+bool
see	seda
ei	eij
olema	õlnd
mitte	`mitte
üks	üht
talu	talu
kõik	kõik
olema	õl'id
üks	ühes
hunnik	un'nikkus
seal	sial
kümme	kümme
vabadik	vabadikku
olema	õl'i
siit	siit
pahem	pahema
käsi	käe
pool	pool
jah	jahh
kümme	kümme
vabadik	vaba`dikku
jälle	jälle
olema	õl'i
seal	sial
teisel+pool	tõisel+pool
küla	küla
jah	jahh
talu+poeg	talu+`buegi
ei	eij
olema+ki	`õltki
rohkem	`rohkem
kui	kui
kümme	kümme
aga	aga
vabadik	vaba`dikkusid
selle+pärast	selle+bärast
see	sie
olema	õl'i
kroonu	kruonu
vald	vald
siin	siin
kõik	kõik
kust	kost
vähegi	vähegi
pääsema	`piasisivad
mõisnik	`mõisnikku
valitsus	val'itsuse
alt	alt
tulema	tul'ivad
siia	`seije
priius	priijuse
elama	elama
jah	jahh
hakkama	`akkasivad
puu+riit	puu+`riittu
tegema	tegema
ja	ja
regi	regesid
ja	ja
üks+kõik	üks+kõik
ehk	ehk
kõik	kõik
või	või
need	neid
ega	ega
see	sell
aeg	aeal
riist	`riista
need	neid
kohver	`kuhvreid
ei	eij
olema	õld
see	sell
aeg	aeal
tegema	`tehti
kirst	kerstud
jah	jahh
olema	õl'i
kirst	kerstu
tegija	tegijaid
ja	ja
regi	ree
tegija	tegijaid
ja	ja
vanker	`vankri
tegija	tegijaid
ja	ja
kõik	kõik
olema	õl'i
siin	siin
Maetma	`Maetmas
no	noo
need	need
olema	õl'id
mõõtma	mõõdettud
